,hotel,price,score,review_number,predict
155,신성 리조트,"₩59,999",3.0,2,0
156,제주 드헤브,"₩55,000",5.0,1,0
157,더큐브리조트 제주,"₩81,539",2.0,1,0
158,가름 게스트하우스,"₩45,901",4.5,3,0
159,호텔에어시티,"₩56,500",3.0,5,0
160,씨엔피 리조트,"₩60,001",5.0,2,0
161,제주 해조대 펜션,"₩88,282",4.0,4,0
162,제주해길하우스,"₩230,000",4.5,2,0
163,바다위올레 펜션,"₩57,819",4.5,3,0
164,흰수염고래리조트,"₩80,000",5.0,2,0
165,탐라지오 호텔,"₩32,747",4.0,4,0
166,담모라 리조트,"₩43,699",5.0,2,0
167,씨제이관광호텔,"₩43,832",4.0,3,0
168,제주 스카이힐,"₩42,715",5.0,1,0
169,호텔 스카보로,"₩154,000",5.0,1,0
170,코델리아S호텔,"₩30,656",2.5,2,0
171,카노푸스 리조트 펜션,"₩250,000",4.0,2,0
172,보보스모텔,"₩37,500",5.0,1,0
173,보물섬,"₩31,842",4.0,2,0
174,호텔 컬리넌 제주,"₩51,945",3.5,6,0
175,뉴 오션 리조트,"₩41,792",3.5,3,0
176,해바라기민박,"₩39,999",5.0,1,0
177,제주로하스펜션,"₩28,999",5.0,1,0
178,라이온힐 휴양펜션,"₩58,000",5.0,1,0
179,돈내코힐스파리조트,"₩47,735",3.0,6,0
180,제주. 아우룸,"₩50,000",5.0,1,0
181,대정펜션,"₩58,000",4.0,3,0
182,빌레리조트,"₩49,999",5.0,1,0
183,"해비치 바람의 집 펜션,카페","₩74,113",5.0,1,0
184,마레카 펜션,"₩420,000",5.0,2,0
185,펜션연리,"₩77,778",5.0,1,0
186,수펜션,"₩49,000",5.0,1,0
187,올레요 리조트,"₩40,000",3.5,10,0
188,런호텔,"₩50,000",5.0,1,0
189,유러하우스,"₩47,690",5.0,1,0
190,지미스테이,"₩182,001",5.0,1,0
191,독채펜션 태흥 예술 극장,"₩120,000",5.0,1,0
192,소보록 요보록펜션,"₩44,954",4.0,2,0
193,끄라비펜션,"₩49,522",4.0,1,0
194,제주터닝포인트 펜션,"₩220,000",4.0,1,0
195,이로 제주,"₩117,129",4.5,10,0
196,제주비치호텔 함덕,"₩50,658",3.5,85,0
197,제주 선샤인 호텔,"₩78,880",4.0,45,0
198,웰빙게스트하우스,"₩32,223",5.0,4,0
199,브리즈베이호텔,"₩42,387",4.0,40,0
200,몬떼뷰 스테이,"₩100,000",4.5,6,0
201,테디밸리 골프 앤 리조트,"₩122,832",4.5,37,0
202,중문스테이 호텔 - 제주,"₩69,293",4.5,10,0
203,체이슨호텔,"₩56,251",4.5,45,0
204,올레 리조트 & 스파,"₩179,799",4.5,13,0
205,호텔 휴식 서귀포,"₩52,078",4.0,21,0
206,라마다 앙코르 이스트,"₩47,614",4.0,105,0
207,엠버호텔 센트럴,"₩55,080",4.5,81,0
208,미도호스텔,"₩53,673",5.0,93,0
209,켄싱턴 리조트 서귀포,"₩61,101",3.0,32,0
210,호텔 시리우스 제주,"₩72,556",4.5,27,0
211,제주 R 호텔 & 게스트하우스,"₩35,082",4.0,52,0
212,골든튤립제주성산호텔,"₩61,763",4.0,21,0
213,스카이호텔,"₩48,999",4.5,6,0
214,더 클라우드 풀 앤 스파,"₩174,000",4.5,6,0
215,호텔샬롬제주,"₩70,050",4.0,17,0
216,더아트스테이 - 제주함덕 비치,"₩71,173",4.0,96,0
217,아리아 호텔,"₩83,300",4.0,35,0
218,굿데이 펜션,"₩70,001",5.0,16,0
219,호텔아로하,"₩43,769",4.5,12,0
220,호텔 더원,"₩58,359",4.0,36,0
221,돌담에 꽃 머무는 집,"₩79,669",4.5,95,0
222,제주포시즌호텔,"₩35,478",4.0,74,0
223,아인스 호텔,"₩36,520",4.0,26,0
224,카이 리조트,"₩70,854",4.5,13,0
225,호텔 앨리스 앤 트렁크,"₩75,736",4.5,5,0
226,바그다드하우스,"₩81,747",5.0,16,0
227,제주중문 오션블루 호텔,"₩42,982",3.0,5,0
228,대명 리조트 제주,"₩132,299",4.0,66,0
229,봄 그리고 가을 리조트,"₩58,479",4.0,20,0
230,체이슨호텔 더 리드,"₩38,001",5.0,8,0
231,비스타케이 호텔 월드컵,"₩45,000",3.5,32,0
232,호텔 화이트 하우스,"₩79,490",4.0,8,0
233,호텔 스카이파크 제주 I,"₩41,564",4.5,91,0
234,호텔난타 제주,"₩63,000",4.0,35,0
235,제이앤클로이,"₩125,000",4.5,4,0
236,베니키아 홈 더 제주 리조트,"₩35,000",4.0,6,0
237,유니 호텔 제주,"₩100,630",4.0,31,0
238,더베스트 제주 성산호텔,"₩50,738",3.5,91,0
239,스타즈 호텔 제주 로베로,"₩38,423",3.5,128,0
240,호텔아길라,"₩158,821",3.5,17,0
241,갤러리 호텔 비,"₩72,859",5.0,24,0
242,베이힐 풀앤빌라,"₩340,932",4.5,71,0
243,라마다제주함덕호텔,"₩60,000",3.5,65,0
244,호텔 케니스토리 제주,"₩41,666",4.0,98,0
245,더 퍼스트 70,"₩38,754",4.5,21,0
246,아스타 호텔,"₩67,660",4.0,106,0
247,호텔 리젠트마린 제주,"₩71,000",4.0,115,0
248,제주 봄 스테이,"₩127,500",4.5,53,0
249,토스카나 호텔,"₩222,178",4.5,54,0
250,브라운스위트제주 호텔 & 리조트,"₩56,694",3.5,25,0
251,아이진 호텔,"₩41,281",4.0,88,0
252,하이 레지던스,"₩62,515",5.0,32,0
253,히든 클리프 호텔 & 네이쳐,"₩245,217",4.0,102,0
254,코업시티호텔 성산,"₩53,000",4.0,54,0
255,아트스테이 서귀포 하버,"₩47,740",4.0,115,0
256,탐라 스테이 호텔 제주,"₩88,000",4.0,33,0
257,다인오세아노호텔,"₩378,352",3.0,12,0
258,제주오리엔탈호텔 앤 카지노,"₩51,627",3.5,143,0
259,케니스토리 인 - 서귀포,"₩44,842",4.0,12,0
260,유어스호텔,"₩44,998",4.0,11,0
261,제주 부영호텔&리조트,"₩87,196",4.0,76,0
262,플레이스,"₩39,002",4.0,39,0
263,휘닉스 제주,"₩227,910",4.0,93,0
264,유탑유블레스호텔제주,"₩110,000",4.0,19,0
265,엠스테이 호텔 제주,"₩52,747",4.0,98,0
266,더포그레이스 호텔앤리조트,"₩60,084",3.5,17,0
267,Y 리조트 제주,"₩142,407",4.5,23,0
268,디 아일랜드 블루 호텔,"₩60,667",4.0,83,0
269,티아일랜드,"₩103,999",4.5,104,0
270,제주 아이브 리조트,"₩43,889",5.0,11,0
271,썬 앤 문 리조트,"₩196,735",5.0,27,0
272,그라벨호텔,"₩101,963",4.0,63,0
273,파크선샤인 제주,"₩88,621",4.5,95,0
274,베드라디오 - 동문점,"₩52,465",5.0,9,0
275,서귀포 칼 호텔,"₩78,361",3.5,147,0
276,심스호텔,"₩38,600",5.0,22,0
277,라마다 앙코르 제주 서귀포,"₩47,947",4.0,137,0
278,슬로 시티 게스트하우스,"₩24,919",4.5,51,0
279,호텔하나,"₩79,172",3.5,81,0
280,금호 제주 리조트,"₩97,628",4.0,50,0
281,미르 게스트하우스,"₩50,053",4.5,20,0
282,마레보 리조트,"₩121,305",4.5,15,0
283,제주 마실 게스트하우스,"₩30,365",4.0,4,0
284,리치호텔,"₩80,190",4.5,3,0
285,민중각 게스트하우스,"₩23,942",4.0,24,0
286,호텔 연,"₩39,799",4.0,5,0
287,어반아일랜드 호텔,"₩56,500",4.0,19,0
288,뱅디가름B&B,"₩77,778",5.0,2,0
289,나인 부티크 호텔,"₩48,903",4.5,23,0
290,레지던스 예그린 하우스,"₩38,484",4.0,5,0
291,제주 꿈꾸는 숲 펜션,"₩65,001",5.0,16,0
292,휴안스테이 호텔,"₩33,901",4.5,2,0
293,취다선 리조트,"₩288,000",5.0,2,0
294,호텔 빠레브,"₩40,715",4.0,30,0
295,한화 리조트 제주,"₩118,000",3.5,78,0
296,R&T호텔,"₩33,345",3.5,12,0
297,메이 더 호텔,"₩31,855",4.0,12,0
298,이린 펜션,"₩100,000",4.5,50,0
299,메모리 인 제주 펜션,"₩67,548",4.5,19,0
300,Gudeok Guesthouse,"₩36,000",5.0,2,0
301,에이원 호텔,"₩46,439",4.5,9,0
302,엠제이 호텔,"₩89,999",4.0,20,0
303,제주 길라임 펜션,"₩66,938",4.0,10,0
304,스카이리조트,"₩35,754",4.5,2,0
305,오션스타 레저콘도,"₩120,000",4.5,2,0
306,미르빌 펜션 & 리조트,"₩43,000",4.0,5,0
307,쥬빌리 펜션,"₩61,101",4.5,13,0
308,블루스프링 부띠끄호텔,"₩82,751",3.5,3,0
309,제주 중문 빌리지,"₩83,701",3.5,7,0
310,제주 브릭스 호텔,"₩106,102",5.0,2,0
311,늘송 파크텔,"₩29,844",4.0,41,0
312,올레 관광호텔,"₩35,777",4.0,13,0
313,제주다와 풀빌라,"₩100,000",5.0,2,0
314,밸류호텔 월드와이드 서귀포 JS,"₩51,615",3.0,26,0
315,씨앤호텔,"₩29,000",3.5,22,0
316,초이 호스텔 제주,"₩40,414",4.5,12,0
317,활엽수 게스트하우스,"₩76,471",5.0,7,0
318,미몽,"₩33,285",4.5,10,0
319,하버 호텔,"₩52,247",4.0,11,0
320,제주 그린데이 게스트하우스,"₩33,003",4.0,28,0
321,해피하우스 펜션,"₩41,859",4.5,4,0
322,코지사이,"₩399,916",5.0,4,0
323,호스텔 마로,"₩30,600",4.0,17,0
324,윈스토리 호텔,"₩43,571",4.5,15,0
325,담&루,"₩73,582",4.5,9,0
